 Akkermansia , Barnesiella, Blautia, Clindamycin , Clostridium_difficile, Enterobacteriaceae, Enterococcus, Lachnospiraceae, Lachnospiraceae_other , Mollicutes, Other,Coprobacillus
0,0,0,0,0,0,1,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,
,1,1,,0,,1,1,1,,1,
,1,1,,0,,1,1,1,,1,
,1,1,,,,0,1,1,,1,
,1,1,,,,1,1,1,,1,
,1,0,,,,1,1,1,,1,
,1,1,,,,1,1,1,,1,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,0,,,,,1,0,0,,0,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
,,,,,,1,,,,,
